Wed Jun 08 15:39:12 2022

Number of Points = 5608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-65.047191	-1.862525	1.251200	0.014278	0.194263
-65.484048	-1.822600	1.256205	0.014374	0.194034
-66.184336	-1.739485	1.261210	0.014527	0.193792
-65.959288	-1.797706	1.266214	0.014479	0.193662
-66.961227	-1.663912	1.271219	0.014698	0.193413
-65.818246	-1.888433	1.276224	0.014449	0.193223
-65.983794	-1.912309	1.281229	0.014486	0.192880
-66.823794	-1.858101	1.286234	0.014670	0.192292
-66.384056	-1.975682	1.291238	0.014575	0.192012
-68.596197	-1.620895	1.296243	0.015058	0.191850
-67.462869	-1.875558	1.301248	0.014811	0.191451
-67.428661	-1.898284	1.306253	0.014804	0.191337
-68.026692	-1.885964	1.311258	0.014936	0.190741
-67.516246	-2.022728	1.316262	0.014825	0.190413
-69.167932	-1.805325	1.321267	0.015186	0.189976
-68.751915	-1.914958	1.326272	0.015096	0.189719
-69.436707	-1.828954	1.331277	0.015246	0.189508
-69.236187	-1.925806	1.336282	0.015203	0.189090
-68.828296	-2.047548	1.341286	0.015114	0.188742
-70.066016	-1.895040	1.346291	0.015385	0.188342
-69.033619	-2.159823	1.351296	0.015161	0.187751
-70.380268	-1.983453	1.356301	0.015455	0.187384
-71.639113	-1.803649	1.361306	0.015730	0.187140
-71.471924	-1.853717	1.366310	0.015695	0.186993
-73.588165	-1.504661	1.371315	0.016157	0.186898
-71.421366	-1.866253	1.376320	0.015685	0.186960
-71.624665	-1.885754	1.381325	0.015730	0.186591
-72.028805	-1.871959	1.386330	0.015819	0.186214
-71.245802	-2.068532	1.391334	0.015649	0.185789
-73.280706	-1.784552	1.396339	0.016093	0.185348
-72.527502	-1.948608	1.401344	0.015930	0.185107
-72.975289	-1.906933	1.406349	0.016028	0.184866
-72.096247	-2.144999	1.411354	0.015837	0.184267
-72.231622	-2.209778	1.416358	0.015867	0.183663
-74.062490	-1.969120	1.421363	0.016267	0.183159
-74.574125	-1.922543	1.426368	0.016379	0.182873
-74.618587	-1.933778	1.431373	0.016390	0.182740
-75.822477	-1.765562	1.436378	0.016653	0.182475
-74.679684	-1.976870	1.441382	0.016404	0.182365
-75.109968	-1.965618	1.446387	0.016499	0.181930
-74.982950	-2.056851	1.451392	0.016472	0.181447
-76.397820	-1.846535	1.456397	0.016781	0.181220
-76.755559	-1.821509	1.461402	0.016860	0.180965
-77.429649	-1.715121	1.466406	0.017008	0.180898
